pci_dss_req_num,scope
6.5.3,Not applicable
6.5.4,Not applicable
6.5.5,Not applicable
6.5.6,Not applicable
7.1.2,Not applicable
7.2.1,Not applicable
7.2.2,Not applicable
7.2.3,Not applicable
7.2.4,Not applicable
7.2.5,Not applicable
7.2.5.1,Not applicable
7.2.6,Not applicable
7.3.1,Not applicable
7.3.2,Not applicable
7.3.3,Not applicable
8.1.2,Not applicable
8.2.3,Not applicable
8.2.4,Not applicable
8.2.6,Not applicable
8.2.7,Not applicable
8.2.8,Not applicable
8.3.2,Not applicable
8.3.3,Not applicable
8.3.4,Not applicable
8.3.8,Not applicable
8.3.10,Not applicable
8.3.10.1,Not applicable
8.3.11,Not applicable
8.4.1,Not applicable
8.4.2,Not applicable
8.4.3,Not applicable
8.5.1,Not applicable
8.6.1,Not applicable
8.6.2,Not applicable
8.6.3,Not applicable
9.1.2,Not applicable
9.2.1,Not applicable
9.2.1.1,Not applicable
9.2.2,Not applicable
9.2.3,Not applicable
9.2.4,Not applicable
9.3.1,Not applicable
9.3.1.1,Not applicable
9.3.2,Not applicable
9.3.3,Not applicable
9.3.4,Not applicable
9.4.1.2,Not applicable
9.4.5,Not applicable
9.4.5.1,Not applicable
9.4.7,Not applicable
9.5,Not applicable
9.5.1,Not applicable
9.5.1.1,Not applicable
9.5.1.2,Not applicable
9.5.1.2.1,Not applicable
9.5.1.3,Not applicable
10.1.2,Not applicable
10.2.1,Not applicable
10.2.1.1,Not applicable
10.2.1.2,Not applicable
10.2.1.3,Not applicable
10.2.1.4,Not applicable
10.2.1.5,Not applicable
10.2.1.6,Not applicable
10.2.1.7,Not applicable
10.2.2,Not applicable
10.3.1,Not applicable
10.3.2,Not applicable
10.3.3,Not applicable
10.3.4,Not applicable
10.4.1,Not applicable
10.4.1.1,Not applicable
10.4.2,Not applicable
10.4.2.1,Not applicable
10.4.3,Not applicable
10.5.1,Not applicable
10.6.1,Not applicable
10.6.2,Not applicable
10.6.3,Not applicable
10.7.1,Not applicable
10.7.2,Not applicable
10.7.3,Not applicable
11.1.2,Not applicable
11.2.1,Not applicable
11.2.2,Not applicable
11.3.1,Not applicable
11.3.1.1,Not applicable
11.3.1.2,Not applicable
11.3.1.3,Not applicable
11.4.1,Not applicable
11.4.2,Not applicable
11.4.3,Not applicable
11.4.4,Not applicable
11.4.5,Not applicable
11.4.6,Not applicable
11.4.7,Not applicable
11.5.1,Not applicable
11.5.1.1,Not applicable
11.5.2,Not applicable
12.2.1,Not applicable
12.3.3,Not applicable
12.3.4,Not applicable
12.5.1,Not applicable
12.6.2,Not applicable
12.6.3,Not applicable
12.6.3.1,Not applicable
12.6.3.2,Not applicable
12.7.1,Not applicable
12.10.2,Not applicable
12.10.3,Not applicable
12.10.4,Not applicable
12.10.4.1,Not applicable
12.10.5,Not applicable
12.10.6,Not applicable
12.10.7,Not applicable
